caldt,vwretd,vwretx,ewretd,ewretx,sprtrn
31-01-91,0.045001,0.043063,0.082065,0.080434,0.041518
28-02-91,0.071565,0.067371,0.085194,0.08148,0.067281
28-03-91,0.024354,0.022312,0.030853,0.028634,0.022203
30-04-91,0.002268,0.000214,0.005046,0.003352,0.000346
31-05-91,0.04293,0.038759,0.054462,0.050928,0.038577
28-06-91,-0.045357,-0.047498,-0.049743,-0.051792,-0.047893
31-07-91,0.046526,0.044799,0.041944,0.040443,0.044859
30-08-91,0.023885,0.019912,0.022633,0.018944,0.019649
30-09-91,-0.016861,-0.019061,-0.019202,-0.021058,-0.019144
31-10-91,0.013458,0.011899,0.01079,0.009445,0.01186
29-11-91,-0.040214,-0.043973,-0.050809,-0.05416,-0.043928
31-12-91,0.114089,0.111476,0.113619,0.111208,0.111588
31-01-92,-0.018348,-0.019654,0.017853,0.016647,-0.0199
28-02-92,0.012865,0.009442,0.030385,0.027321,0.009565
31-03-92,-0.01947,-0.021873,-0.020264,-0.022422,-0.021832
30-04-92,0.028614,0.027157,0.016597,0.015297,0.027893
29-05-92,0.00485,0.001087,0.00193,-0.001292,0.000964
30-06-92,-0.01503,-0.017545,-0.020451,-0.022667,-0.017359
31-07-92,0.040924,0.039465,0.04079,0.039542,0.039374
31-08-92,-0.020615,-0.024214,-0.027431,-0.030637,-0.023998
30-09-92,0.01134,0.008916,0.018991,0.016985,0.009106
30-10-92,0.004796,0.003455,0.020398,0.019325,0.002106
30-11-92,0.033794,0.030069,0.044229,0.040785,0.030262
31-12-92,0.01338,0.011197,0.022532,0.02062,0.010108
29-01-93,0.007282,0.005964,0.022706,0.021733,0.007046
26-02-93,0.013526,0.010361,0.010886,0.008018,0.010484
31-03-93,0.021202,0.018578,0.02745,0.02506,0.018697
30-04-93,-0.024519,-0.02578,-0.021945,-0.022986,-0.025417
28-05-93,0.026259,0.022549,0.03163,0.02838,0.022717
30-06-93,0.003466,0.001095,0.003477,0.001367,0.000755
30-07-93,-0.004593,-0.005909,-0.000721,-0.001789,-0.005327
31-08-93,0.037431,0.033957,0.040022,0.036714,0.034432
30-09-93,-0.007582,-0.009842,-0.006236,-0.008034,-0.009988
29-10-93,0.019884,0.01859,0.019667,0.018666,0.019393
30-11-93,-0.008655,-0.012084,-0.00857,-0.011803,-0.012911
31-12-93,0.012646,0.010617,0.023359,0.02162,0.010091
31-01-94,0.033429,0.031954,0.037019,0.035801,0.032501
28-02-94,-0.027161,-0.030121,-0.017379,-0.020103,-0.030045
31-03-94,-0.043456,-0.045728,-0.043719,-0.045656,-0.045746
29-04-94,0.012817,0.011477,0.004462,0.00341,0.011531
31-05-94,0.016309,0.012559,0.012087,0.008621,0.012419
30-06-94,-0.024762,-0.027113,-0.021933,-0.023789,-0.026812
29-07-94,0.032714,0.031381,0.03375,0.032604,0.031467
31-08-94,0.041341,0.03799,0.052232,0.048938,0.037643
30-09-94,-0.02394,-0.026238,-0.026,-0.027803,-0.026898
31-10-94,0.022619,0.021043,0.011997,0.010581,0.020834
30-11-94,-0.036248,-0.039423,-0.043415,-0.046398,-0.039505
30-12-94,0.014955,0.012419,0.016548,0.014254,0.012299
31-01-95,0.026,0.024348,0.021154,0.019698,0.024278
28-02-95,0.039228,0.036328,0.044549,0.041677,0.036074
31-03-95,0.029334,0.027179,0.029457,0.02759,0.027329
28-04-95,0.029395,0.027914,0.0238,0.022491,0.02796
31-05-95,0.039809,0.036454,0.035709,0.03254,0.036312
30-06-95,0.024155,0.022198,0.025803,0.02414,0.021279
31-07-95,0.033405,0.032023,0.033271,0.032047,0.031776
31-08-95,0.003495,0.000642,0.007707,0.004788,-0.00032
29-09-95,0.042102,0.040182,0.024752,0.023133,0.040098
31-10-95,-0.003442,-0.004864,-0.024119,-0.025353,-0.004979
30-11-95,0.044179,0.041338,0.050988,0.04808,0.041049
29-12-95,0.017643,0.015809,0.014641,0.012755,0.017444
31-01-96,0.034861,0.033415,0.030677,0.029272,0.032617
29-02-96,0.010088,0.007689,0.012873,0.010448,0.006934
29-03-96,0.009585,0.00786,0.019612,0.017959,0.007917
30-04-96,0.015133,0.013857,0.02841,0.027322,0.013431
31-05-96,0.025257,0.02253,0.013102,0.010467,0.022853
28-06-96,0.004128,0.002562,-0.009331,-0.010898,0.002257
31-07-96,-0.044441,-0.046048,-0.055908,-0.057147,-0.045748
30-08-96,0.021928,0.019589,0.032975,0.030535,0.018814
30-09-96,0.056035,0.054112,0.049854,0.048156,0.054173
31-10-96,0.026798,0.025348,0.013655,0.012347,0.026131
29-11-96,0.076455,0.074218,0.070028,0.067803,0.073376
31-12-96,-0.019815,-0.021518,-0.016817,-0.018512,-0.021505
31-01-97,0.062779,0.061689,0.03914,0.038108,0.061317
28-02-97,0.007752,0.0058,0.013457,0.011391,0.005928
31-03-97,-0.041653,-0.04331,-0.03512,-0.036683,-0.042614
30-04-97,0.060274,0.059016,0.032138,0.03087,0.058406
30-05-97,0.061401,0.059272,0.073897,0.071723,0.058577
30-06-97,0.044103,0.042762,0.03882,0.037303,0.043453
31-07-97,0.080388,0.078977,0.079766,0.078636,0.078123
29-08-97,-0.05497,-0.056458,-0.028003,-0.029745,-0.057446
30-09-97,0.053886,0.052408,0.051665,0.050189,0.053154
31-10-97,-0.032605,-0.03373,-0.043194,-0.044241,-0.034478
28-11-97,0.046321,0.044625,0.031342,0.029479,0.044587
31-12-97,0.017147,0.0157,0.015319,0.013788,0.015732
30-01-98,0.011994,0.01108,-0.002326,-0.003152,0.01015
27-02-98,0.071956,0.070303,0.078865,0.077036,0.070449
31-03-98,0.051336,0.050104,0.050179,0.048835,0.049946
30-04-98,0.011275,0.010232,0.004209,0.003227,0.009076
29-05-98,-0.017674,-0.019206,-0.024932,-0.026546,-0.018826
30-06-98,0.04097,0.0398,0.010836,0.009456,0.039438
31-07-98,-0.010109,-0.011112,-0.044451,-0.045311,-0.011615
31-08-98,-0.143124,-0.144504,-0.148456,-0.15028,-0.145797
30-09-98,0.063176,0.061612,0.060341,0.058597,0.062396
30-10-98,0.080111,0.079144,0.08884,0.08786,0.080294
30-11-98,0.062164,0.060685,0.05071,0.048847,0.059126
31-12-98,0.059673,0.058454,0.029082,0.027529,0.056375
29-01-99,0.0428,0.042,0.010847,0.010044,0.041009
26-02-99,-0.031935,-0.033156,-0.019371,-0.021184,-0.032283
31-03-99,0.038979,0.037774,0.021855,0.020209,0.038794
30-04-99,0.037559,0.036771,0.096934,0.09596,0.037944
28-05-99,-0.023159,-0.024833,-0.001112,-0.003032,-0.02497
30-06-99,0.054431,0.053398,0.041249,0.039867,0.054438
30-07-99,-0.03022,-0.031084,-0.034555,-0.035454,-0.032046
31-08-99,-0.004989,-0.006251,-0.022216,-0.023947,-0.006254
30-09-99,-0.028079,-0.029257,-0.039403,-0.040891,-0.028552
29-10-99,0.064238,0.063512,0.03097,0.029995,0.062539
30-11-99,0.020822,0.019547,-0.001732,-0.003641,0.019062
